#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 03 22 23 50  43  2.9  5.8  0.01 99.00  6.57 999 1013.1   0.8   0.9 999.0 99.0 99.00
2016 03 23 00 50  36  3.2  5.1  0.02 99.00  9.62 999 1013.5   0.7   0.9 999.0 99.0 99.00
2016 03 23 01 50  33  3.8  5.4  0.01 99.00  7.75 999 1014.2   0.7   0.8 999.0 99.0 99.00
2016 03 23 02 50  34  3.0  5.5  0.02 99.00  9.17 999 1014.9   0.9   0.7 999.0 99.0 99.00
2016 03 23 03 50   6  1.9  4.1  0.02 99.00 10.45 999 1015.5   0.3   0.6 999.0 99.0 99.00
2016 03 23 04 50  16  2.1  4.1  0.01 99.00  8.63 999 1016.0   0.1   0.4 999.0 99.0 99.00
2016 03 23 05 50  14  2.8  5.4  0.01 99.00  8.65 999 1016.4   0.0   0.3 999.0 99.0 99.00
2016 03 23 06 50  19  1.9  3.7  0.01 99.00  8.82 999 1017.0   0.1   0.1 999.0 99.0 99.00
2016 03 23 07 50  15  1.6  3.6  0.01 99.00  8.26 999 1017.3  -0.2   0.0 999.0 99.0 99.00
2016 03 23 08 50  15  1.8  3.8  0.02 99.00  9.40 999 1017.8  -0.5  -0.1 999.0 99.0 99.00
2016 03 23 09 50  13  2.2  5.0  0.01 99.00  7.70 999 1017.7  -0.8  -0.3 999.0 99.0 99.00
